title,Location,details,Price,Description
"
4 bedroom townhouse for sale in Ruiru
,
Breathtaking modern Maisonettes and Bungalows f ...
","
Kenyatta Road, Ruiru, Ruiru
","
4
","
KSh 11,550,000
","
Breathtaking modern Maisonettes and Bungalows f...
,
4 bedroom townhouse for sale in Ruiru
"
"
3 bedroom house for sale in Ongata Rongai
,
Very Beautiful 3 BR houses in Ongata Rongai
","
Ongata Rongai, Kajiado North
","
2500 m²
,
3
","
KSh 6,000,000
","
Very Beautiful 3 BR houses in Ongata Rongai
,
3 bedroom house for sale in Ongata Rongai
"
"
5 bedroom townhouse for sale in Lavington
,
Masterful Design! Lavington Five Bedroom Townho ...
","
Lavington, Dagoretti North
","
5
","
KSh 53,000,000
","
Masterful Design! Lavington Five Bedroom Townho...
,
5 bedroom townhouse for sale in Lavington
"
"
4 bedroom house for sale in Runda
,
Beautiful and specious four bedroom Stand-alone ...
","
Runda, Westlands
","
4
","
KSh 92,000,000
","
Beautiful and specious four bedroom Stand-alone...
,
4 bedroom house for sale in Runda
"
"
4 bedroom house for sale in Syokimau
,
Magnificently modern custom 5br house on sale_S ...
","
 N/A, N/A, Syokimau, Athi River
","
3600 ft²
,
4
","
KSh 39,500,000
","
Magnificently modern custom 5br house on sale_S...
,
4 bedroom house for sale in Syokimau
"
"
3 bedroom townhouse for sale in Gikambura
,
Three Bedroom All En Suite
","
Gikambura, Kikuyu
","
3
","
KSh 9,000,000
","
Three Bedroom All En Suite
,
3 bedroom townhouse for sale in Gikambura
"
"
5 bedroom villa for sale in Runda
,
VILLAS for SALE in RUNDA
","
Runda, Westlands
","
5
","
KSh 115,000,000
","
VILLAS for SALE in RUNDA
,
5 bedroom villa for sale in Runda
"
"
4 bedroom house for sale in Kahawa West
,
4brd kahawa west near jacaranda estate
","
Maziwa, Kahawa near jacaranda estate, Kahawa West, Roysambu
","
4
","
KSh 13,000,000
","
4brd kahawa west near jacaranda estate
,
4 bedroom house for sale in Kahawa West
"
"
2 bedroom house for sale in Dabaso
,
this is a test
","
3, Test street, Dabaso, Kilifi North
","
2000 m²
,
 2
","
KSh 6,000,000
","
this is a test
,
2 bedroom house for sale in Dabaso
"
"
5 bedroom townhouse for sale in Lavington
,
New 5bedrooms townhouses for sale in lavington.
","
lavington, lavington, Lavington, Dagoretti North
","
5
","
KSh 49,000,000
","
New 5bedrooms townhouses for sale in lavington.
,
5 bedroom townhouse for sale in Lavington
"
"
5 bedroom villa for sale in Runda
,
5 BEDROOM MANSION, ALL ENSUITE, RUNDA
","
Eliud Mathu Drive, Runda, Westlands
","
5
","
KSh 110,000,000
","
5 BEDROOM MANSION, ALL ENSUITE, RUNDA
,
5 bedroom villa for sale in Runda
"
"
5 bedroom townhouse for sale in Lavington
,
A stylish and brand new 5 bedroom all en suite ...
","
Walk to Lavington Mall, Lavington, Dagoretti North
","
5
","
KSh 80,000,000
","
A stylish and brand new 5 bedroom all en suite...
,
5 bedroom townhouse for sale in Lavington
"
"
4 bedroom townhouse for sale in Lavington
,
4 bedroom townhouse
","
Lavington, Dagoretti North
","
4
","
KSh 65,000,000
","
4 bedroom townhouse
,
4 bedroom townhouse for sale in Lavington
"
"
4 bedroom townhouse for sale in Lavington
,
NEW 4BEDROOM TOWNHOUSE FOR SALE IN LAVINGTON GR ...
","
lavington green, lavington green, Lavington, Dagoretti North
","
4
","
KSh 60,000,000
","
NEW 4BEDROOM TOWNHOUSE FOR SALE IN LAVINGTON GR...
,
 4 bedroom townhouse for sale in Lavington
"
"
7 bedroom house for sale in Embu East
,
Property for sale in Nembure,Embu.
","
Embu East, Embu East
","
1950 m²
,
7
","
KSh 60,000,000
","
Property for sale in Nembure,Embu.
,
7 bedroom house for sale in Embu East
 "
